activity_site_id,activity_description,booking_end_datetime,booking_start_time,max_bookees,number_booked,price_inr,year,month,day,day_name
HXP,20-20-20  2.45pm-3.45pm,2018-04-08,14:45:00,25,12,499.0,2018,4,8,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-04-15,14:45:00,25,15,499.0,2018,4,15,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-04-22,14:45:00,25,14,499.0,2018,4,22,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-04-29,14:45:00,25,9,499.0,2018,4,29,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-05-06,14:45:00,25,7,499.0,2018,5,6,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-05-13,14:45:00,25,10,499.0,2018,5,13,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-05-20,14:45:00,25,7,499.0,2018,5,20,Sunday
HXP,20-20-20  2.45pm-3.45pm,2018-05-27,14:45:00,25,3,499.0,2018,5,27,Sunday
TSC,20-20-20 7.00-8.00pm,2018-04-04,19:00:00,24,10,499.0,2018,4,4,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-04-11,19:00:00,24,12,499.0,2018,4,11,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-04-18,19:00:00,24,9,499.0,2018,4,18,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-04-25,19:00:00,24,5,499.0,2018,4,25,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-05-02,19:00:00,24,6,499.0,2018,5,2,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-05-09,19:00:00,24,5,499.0,2018,5,9,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-05-16,19:00:00,24,6,499.0,2018,5,16,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-05-23,19:00:00,24,6,499.0,2018,5,23,Wednesday
TSC,20-20-20 7.00-8.00pm,2018-05-30,19:00:00,24,7,499.0,2018,5,30,Wednesday
NBL,20-20-20 9.30-10.30am,2018-04-03,9:30:00,60,42,499.0,2018,4,3,Tuesday
NBL,20-20-20 9.30-10.30am,2018-04-10,9:30:00,60,34,499.0,2018,4,10,Tuesday
NBL,20-20-20 9.30-10.30am,2018-04-17,9:30:00,60,37,499.0,2018,4,17,Tuesday
NBL,20-20-20 9.30-10.30am,2018-04-24,9:30:00,60,33,499.0,2018,4,24,Tuesday
NBL,20-20-20 9.30-10.30am,2018-05-01,9:30:00,60,34,499.0,2018,5,1,Tuesday
NBL,20-20-20 9.30-10.30am,2018-05-08,9:30:00,60,28,499.0,2018,5,8,Tuesday
NBL,20-20-20 9.30-10.30am,2018-05-15,9:30:00,60,31,499.0,2018,5,15,Tuesday
NBL,20-20-20 9.30-10.30am,2018-05-22,9:30:00,60,31,499.0,2018,5,22,Tuesday
NBL,20-20-20 9.30-10.30am,2018-05-29,9:30:00,60,30,499.0,2018,5,29,Tuesday
SBP,20-20-20 9.30-10.30am,2018-04-04,9:30:00,35,18,499.0,2018,4,4,Wednesday
SBP,20-20-20 9.30-10.30am,2018-04-11,9:30:00,35,12,499.0,2018,4,11,Wednesday
SBP,20-20-20 9.30-10.30am,2018-04-18,9:30:00,35,14,499.0,2018,4,18,Wednesday
SBP,20-20-20 9.30-10.30am,2018-04-25,9:30:00,35,14,499.0,2018,4,25,Wednesday
SBP,20-20-20 9.30-10.30am,2018-05-02,9:30:00,35,12,499.0,2018,5,2,Wednesday
SBP,20-20-20 9.30-10.30am,2018-05-09,9:30:00,35,13,499.0,2018,5,9,Wednesday
SBP,20-20-20 9.30-10.30am,2018-05-16,9:30:00,35,11,499.0,2018,5,16,Wednesday
SBP,20-20-20 9.30-10.30am,2018-05-23,9:30:00,35,14,499.0,2018,5,23,Wednesday
SBP,20-20-20 9.30-10.30am,2018-05-30,9:30:00,35,7,499.0,2018,5,30,Wednesday
BRP,20:20:20  10-11 Am,2018-04-03,10:00:00,35,32,499.0,2018,4,3,Tuesday
BRP,20:20:20  10-11 Am,2018-04-10,10:00:00,35,26,499.0,2018,4,10,Tuesday
BRP,20:20:20  10-11 Am,2018-04-17,10:00:00,35,24,499.0,2018,4,17,Tuesday
BRP,20:20:20  10-11 Am,2018-04-24,10:00:00,35,23,499.0,2018,4,24,Tuesday
BRP,20:20:20  10-11 Am,2018-05-01,10:00:00,35,22,499.0,2018,5,1,Tuesday
BRP,20:20:20  10-11 Am,2018-05-08,10:00:00,35,30,499.0,2018,5,8,Tuesday
BRP,20:20:20  10-11 Am,2018-05-15,10:00:00,35,18,499.0,2018,5,15,Tuesday
BRP,20:20:20  10-11 Am,2018-05-22,10:00:00,35,24,499.0,2018,5,22,Tuesday
